Plane Number;Image Path;Translation;Rotation;K Matrix
2;rightCameraPostProcessed/right/Camera_110732692_Image001755;-0.068754 -0.132906147131 -0.43923686592;0.457478440855 0.314250031338 -0.508434519273 -0.658380386683;612.0 0.0 1224.0 0.0 612.0 1024.0 0.0 0.0 1.0
2;rightCameraPostProcessed/right/Camera_110732692_Image001757;-0.03311 -0.0229205163588 -0.446720212956;0.492720840362 0.308912755129 -0.489030929261 -0.650121398985;612.0 0.0 1224.0 0.0 612.0 1024.0 0.0 0.0 1.0
2;rightCameraPostProcessed/right/Camera_110732692_Image001750;0.051472 -0.555293499921 -0.44379027257;0.337205028109 0.462431674843 -0.605769080317 -0.552723743339;612.0 0.0 1224.0 0.0 612.0 1024.0 0.0 0.0 1.0
2;rightCameraPostProcessed/right/Camera_110732692_Image001758;-0.032026 0.0197311056648 -0.446552015676;0.499071605661 0.297488183669 -0.485154690308 -0.653500757056;612.0 0.0 1224.0 0.0 612.0 1024.0 0.0 0.0 1.0
2;leftCameraPostProcessed/left/Camera_110732781_Image000050;0.647426 -3.08577779758 -0.433679220744;0.502705576864 -0.306554402765 -0.495632844524 0.638490081806;612.0 0.0 1224.0 0.0 612.0 1024.0 0.0 0.0 1.0
2;rightCameraPostProcessed/right/Camera_110732692_Image000483;2.35145 -0.749704716434 -0.454468625952;0.328982997698 0.505968559389 -0.596671981576 -0.528922064711;612.0 0.0 1224.0 0.0 612.0 1024.0 0.0 0.0 1.0
2;rightCameraPostProcessed/right/Camera_110732692_Image000482;2.39243 -0.938100391449 -0.448798312076;0.252113631982 0.556763533387 -0.637340144192 -0.469319320997;612.0 0.0 1224.0 0.0 612.0 1024.0 0.0 0.0 1.0
2;rightCameraPostProcessed/right/Camera_110732692_Image000481;2.4585 -1.09713937973 -0.451743951955;0.188403940185 0.595943958121 -0.663701796862 -0.410931477188;612.0 0.0 1224.0 0.0 612.0 1024.0 0.0 0.0 1.0
2;rightCameraPostProcessed/right/Camera_110732692_Image000480;2.53681 -1.21343154478 -0.458869130726;0.141520447076 0.624916066788 -0.681573379087 -0.353439671584;612.0 0.0 1224.0 0.0 612.0 1024.0 0.0 0.0 1.0
2;rightCameraPostProcessed/right/Camera_110732692_Image000487;2.24139 0.139192556232 -0.465368266443;0.559326761006 0.226899295954 -0.386854428957 -0.697154168542;612.0 0.0 1224.0 0.0 612.0 1024.0 0.0 0.0 1.0
2;rightCameraPostProcessed/right/Camera_110732692_Image000486;2.25795 -0.0518022106774 -0.460319194225;0.522004747761 0.292559008648 -0.435906915694 -0.672246554937;612.0 0.0 1224.0 0.0 612.0 1024.0 0.0 0.0 1.0
2;rightCameraPostProcessed/right/Camera_110732692_Image000485;2.28263 -0.304072220782 -0.461057613666;0.469787360301 0.371696510169 -0.48976044779 -0.633471581218;612.0 0.0 1224.0 0.0 612.0 1024.0 0.0 0.0 1.0
2;rightCameraPostProcessed/right/Camera_110732692_Image000484;2.31114 -0.532780627451 -0.460886659877;0.404424815653 0.444032164915 -0.546583237823 -0.583551856424;612.0 0.0 1224.0 0.0 612.0 1024.0 0.0 0.0 1.0
2;rightCameraPostProcessed/right/Camera_110732692_Image000489;2.14493 0.571392987792 -0.46094917577;0.629828745761 0.0895615708221 -0.270658645744 -0.722529150643;612.0 0.0 1224.0 0.0 612.0 1024.0 0.0 0.0 1.0
2;rightCameraPostProcessed/right/Camera_110732692_Image000488;2.20516 0.366070537229 -0.467050942606;0.596884777399 0.16509566341 -0.338810307249 -0.708300473058;612.0 0.0 1224.0 0.0 612.0 1024.0 0.0 0.0 1.0
2;leftCameraPostProcessed/left/Camera_110732781_Image001729;2.32893 -1.71970798787 -0.398621983689;0.0537772334386 -0.646407025678 -0.713872299694 0.263936177982;612.0 0.0 1224.0 0.0 612.0 1024.0 0.0 0.0 1.0
2;leftCameraPostProcessed/left/Camera_110732781_Image001727;2.63133 -1.69279245374 -0.432434964387;0.054832516691 -0.650624826403 -0.711069784142 0.260903224321;612.0 0.0 1224.0 0.0 612.0 1024.0 0.0 0.0 1.0
2;leftCameraPostProcessed/left/Camera_110732781_Image000053;0.68123 3.08495847465 -0.434849017021;0.518643061085 -0.311451456012 -0.497460118469 0.621732093646;612.0 0.0 1224.0 0.0 612.0 1024.0 0.0 0.0 1.0
2;leftCameraPostProcessed/left/Camera_110732781_Image000052;0.663974 3.11775669767 -0.445944207247;0.514439365473 -0.314768998069 -0.497978599688 0.623137168977;612.0 0.0 1224.0 0.0 612.0 1024.0 0.0 0.0 1.0
2;leftCameraPostProcessed/left/Camera_110732781_Image000055;0.693165 3.01965058032 -0.423374492063;0.53149004704 -0.297486727793 -0.487102959312 0.625907887563;612.0 0.0 1224.0 0.0 612.0 1024.0 0.0 0.0 1.0
2;rightCameraPostProcessed/right/Camera_110732692_Image001759;-0.06634 0.0964529683291 -0.46088326617;0.516706336512 0.286364553367 -0.473073326949 -0.65362185682;612.0 0.0 1224.0 0.0 612.0 1024.0 0.0 0.0 1.0
2;leftCameraPostProcessed/left/Camera_110732781_Image000051;0.649541 -3.06949854679 -0.44027200235;0.499752043772 -0.311412477864 -0.498001542032 0.636611834252;612.0 0.0 1224.0 0.0 612.0 1024.0 0.0 0.0 1.0
2;leftCameraPostProcessed/left/Camera_110732781_Image000057;0.582139 2.86828718797 -0.420246027662;0.562708142558 -0.24815655472 -0.453872974459 0.644815627683;612.0 0.0 1224.0 0.0 612.0 1024.0 0.0 0.0 1.0
2;leftCameraPostProcessed/left/Camera_110732781_Image000056;0.650122 2.97339876309 -0.427509572089;0.5419238522 -0.283902375881 -0.476147462367 0.631673628916;612.0 0.0 1224.0 0.0 612.0 1024.0 0.0 0.0 1.0
2;leftCameraPostProcessed/left/Camera_110732781_Image000059;0.463851 2.64117452997 -0.417607598092;0.613569798352 -0.127917319816 -0.360362434593 0.690882173439;612.0 0.0 1224.0 0.0 612.0 1024.0 0.0 0.0 1.0
2;leftCameraPostProcessed/left/Camera_110732781_Image000058;0.520758 2.75604469855 -0.414781752713;0.586983236888 -0.191712628147 -0.416627388026 0.667179561563;612.0 0.0 1224.0 0.0 612.0 1024.0 0.0 0.0 1.0
2;rightCameraPostProcessed/right/Camera_110732692_Image001729;2.32893 -1.67870798787 -0.448621983689;0.0269761504853 -0.689205942345 0.697693798309 0.193651284898;612.0 0.0 1224.0 0.0 612.0 1024.0 0.0 0.0 1.0
2;rightCameraPostProcessed/right/Camera_110732692_Image001749;0.089038 -0.711089745832 -0.450218770234;0.284587479698 0.511171440504 -0.637073637829 -0.501857454658;612.0 0.0 1224.0 0.0 612.0 1024.0 0.0 0.0 1.0
2;rightCameraPostProcessed/right/Camera_110732692_Image001748;0.129151 -0.862571420768 -0.457054153792;0.226818270446 0.555586970719 -0.666114978337 -0.442919209105;612.0 0.0 1224.0 0.0 612.0 1024.0 0.0 0.0 1.0
2;leftCameraPostProcessed/left/Camera_110732781_Image000060;0.4091856 2.46125081212 -0.420218443386;0.645893787981 -0.0500273141635 -0.282770571861 0.707367857748;612.0 0.0 1224.0 0.0 612.0 1024.0 0.0 0.0 1.0
2;leftCameraPostProcessed/left/Camera_110732781_Image000061;0.3657548 2.23993964789 -0.4202831418;0.674349987209 0.0244357031154 -0.206424546913 0.708557617697;612.0 0.0 1224.0 0.0 612.0 1024.0 0.0 0.0 1.0
2;rightCameraPostProcessed/right/Camera_110732692_Image001768;-0.219098 1.2842641556 -0.460736056529;0.700579208924 -0.079695833968 -0.118110690309 -0.699211849804;612.0 0.0 1224.0 0.0 612.0 1024.0 0.0 0.0 1.0
2;rightCameraPostProcessed/right/Camera_110732692_Image001761;-0.152439 0.0434218641213 -0.448860332693;0.54052644096 0.287496819999 -0.427739962725 -0.665000202558;612.0 0.0 1224.0 0.0 612.0 1024.0 0.0 0.0 1.0
2;rightCameraPostProcessed/right/Camera_110732692_Image001760;-0.113417 0.0722254553484 -0.462993162291;0.536391128801 0.294963245579 -0.442526910616 -0.655332872731;612.0 0.0 1224.0 0.0 612.0 1024.0 0.0 0.0 1.0
2;rightCameraPostProcessed/right/Camera_110732692_Image001763;-0.19415 0.280985410906 -0.438011722527;0.570781078044 0.195447968681 -0.384382908197 -0.698762357581;612.0 0.0 1224.0 0.0 612.0 1024.0 0.0 0.0 1.0
2;rightCameraPostProcessed/right/Camera_110732692_Image001762;-0.181556 0.12400817708 -0.439300895807;0.546615488653 0.248741921869 -0.41563041634 -0.683081489197;612.0 0.0 1224.0 0.0 612.0 1024.0 0.0 0.0 1.0
2;rightCameraPostProcessed/right/Camera_110732692_Image001765;-0.218957 0.638536810909 -0.446801674755;0.635263399207 0.0853355235222 -0.274794475715 -0.716698163922;612.0 0.0 1224.0 0.0 612.0 1024.0 0.0 0.0 1.0
2;rightCameraPostProcessed/right/Camera_110732692_Image001764;-0.208908 0.465056988547 -0.443602059241;0.605976906949 0.143768950738 -0.333819808925 -0.707599330283;612.0 0.0 1224.0 0.0 612.0 1024.0 0.0 0.0 1.0
2;rightCameraPostProcessed/right/Camera_110732692_Image001767;-0.224224 1.05886016105 -0.455084426667;0.681444433983 -0.0358384053505 -0.163413463861 -0.712499215385;612.0 0.0 1224.0 0.0 612.0 1024.0 0.0 0.0 1.0
2;rightCameraPostProcessed/right/Camera_110732692_Image001766;-0.222096 0.808670730753 -0.447476335296;0.655963717629 0.0183006824252 -0.215518214949 -0.723144926832;612.0 0.0 1224.0 0.0 612.0 1024.0 0.0 0.0 1.0
